Case title,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Order,Publication Date,CTA Partner,CTA Partner Image,CTA Partner Name,CTA Partner Position,CTA Free Download,CTA Free Download - Image,CTA Free Download Description,Signature case,Confidential case,Meta Description,Case image,Client Name,Client logo,Hide client name,Markets,Services,Sectors,Related sectors,What they wanted,Hide what they wanted,What we did,Hide what we did,What we achieved,Hide what we achieved,Want to know more,Client quote,Client quote - Person name,Client quote - Person position,Hide client quote,Related cases,Related Blog Posts,Related Digital Know-How,Related Industry Focus,Short case,Short case slider images
Co-developing & launching a mobility platform within 6 months,a-selection-of-our-cases-ns-dutch-railways,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,64e282fb5197e8df5f10edb7,false,false,Sun Aug 20 2023 21:17:47 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 15:52:05 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 16:40:23 GMT+0000 (Coordinated Universal Time),62,,false,,,,false,,,false,false,,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/6908cfa382f7c9fea1acec52_Hely1.jpg,NS (Dutch Railways),https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/64e4dcf93fea3da0db5895a8_Hely_logo_road.png,false,,ventures-scale-ups,,,"<p id="""">In the fall of 2017, NS (Dutch Railways) identified an emerging trend of consumers moving towards flexible, sustainable mobility solutions. NS asked SparkOptimus to come up with a strategic response to this trend. As a result, SparkOptimus designed and set-up a new venture offering mobility-as-a-service for consumers, called Hely, by finding the right product-market fit, building the organization, building a scalable technology platform, and installing a way of working that allows for rapid scale-up.</p>",false,"<p id="""">From day 1, SparkOptimus was firmly embedded within the Hely team. As integral part of the Hely team, we jointly built the business. Together with the Hely team, we defined the long-term vision, proposition, and business plan. To ensure timely go-live, we shaped a minimum viable product (MVP) based on consumer feedback and financial implications. In addition, we provided hands-on support in numerous areas: amongst others, we fulfilled the role of Interim Head of Operations, kickstarted Business Analytics by building the first dashboards and supported the Development team in becoming more effective by rolling-out process improvements based on agile best-practices.</p>",false,"<p id="""">Through the support of SparkOptimus, Hely could go from an initial idea to pilot launch within 6 months. The agile way of working that we ensured from the start enabled Hely to build, learn &amp; adapt, never losing focus towards the end goal. Hely was able to grow from a small 4 person founding team to a fully operational team of 15 people. One month after the public launch (January 2019), Hely was already operating 3locations throughout the Netherlands servicing &gt;150 customers and preparing 10+ additional locations to be rolled-out in 2019.</p><p id="""">‍</p><p id=""""><strong id="""">Want to find out how your venture can benefit from our expertise? </strong><a id="""" href=""https://www.sparkoptimus.com/contact""><strong id="""">Click here to get in touch with us. </strong></a></p>",false,,"The market for mobility is changing at a rapid pace, yet it is hard to see what the end state will be. Given this uncertainty, SparkOptimus proved itself to be the right partner as their combination of strategic brainpower and business pragmatism enabled us to ‘get things going’. Most importantly, they fully became part of the team, assisting wherever necessary, and challenging us when appropriate.",Jan Paul van Heemskerck van Beest,Founder Hely,false,,,,,false,
Digitally serving insurance needs of consumers and businesses,aav-abn-amro-verzekeringen,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,64e27b1591da0d8fe408ce37,false,false,Sun Aug 20 2023 20:44:05 GMT+0000 (Coordinated Universal Time),Tue Mar 05 2024 14:39:09 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 16:00:18 GMT+0000 (Coordinated Universal Time),30,,false,,,,false,,,false,false,,https://uploads-ssl.webflow.com/64c8db4525075f4f57f9539a/64e4dd60720e662cee782223_pexels-fauxels-3184360-scaled-e1635333025376-1600x900.jpg,ABN AMRO,https://uploads-ssl.webflow.com/64c8db4525075f4f57f9539a/64e4dd59e70239f9b3ea0d73_Abnamro-e1635333106678.png,true,,digital-strategy-transformation,,Finance,"<p id="""">ABN AMRO Verzekeringen (AAV) is a joint venture of ABN AMRO Bank (AAB) and Nationale Nederlanden (NN). AAV is dedicated to serving the insurance needs of AAB customers (businesses and consumers) and has a unique position in the market as both an insurer and a broker. Foreseeing rapid changes in the market, AAV asked SparkOptimus to help redefine its strategic position to achieve sustainable customer growth in the future.</p>",false,"<p id="""">We re-envisioned AAV’s customer propositions and formulated a 3-year roadmap and supporting business case. Next, we kickstarted the transformation of the commercial teams by running the transformation program, assisting with specific growth initiatives, supporting with selection and development of a new technology platform, shaping the change management communications strategy, and building on-the-ground capabilities. Finally, based on lessons learned while working across all layers in the organization, we helped to define the future-proof organization model and way of working and handed-over the ongoing transformation fully to the AAV team.</p>",false,"<p id="""">By supporting both on a strategic and operational level, we enabled AAV to successfully kickstart selected growth initiatives towards the vision while building a future-proof commercial organization, way of working, and technology capability. This foundation will allow AAV to continue to work towards the vision and timely grasp commercial opportunities presented by new developments in customer needs and the wider market.</p><p>‍</p><p id=""""><strong id="""">Want to find out how your business can benefit from our 1-week digital strategy scan? </strong><a href=""https://www.sparkoptimus.com/contact""><strong id="""">Click here to get in touch with us. </strong></a></p>",false,,"SparkOptimus was able to support us in all aspects of the transformation. With their expertise, pragmatism, and enthusiasm, they laid the groundwork for commercial effectiveness in the future.",Paula Mooij,Chief Commercial Officer AAV,false,,,,,false,
Accelerating Bleckmann's new business growth through (Gen) AI,accelerating-bleckmanns-ambitious-new-business-growth-target-through--gen--ai,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,695e385296d268b092a632ec,false,false,Wed Jan 07 2026 10:41:22 GMT+0000 (Coordinated Universal Time),Mon Feb 16 2026 08:14:16 GMT+0000 (Coordinated Universal Time),Mon Feb 16 2026 08:14:16 GMT+0000 (Coordinated Universal Time),0,Mon Nov 03 2025 00:00:00 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/695e35d0961130331dc5760a_687a5963bcd288715d927ea4_7E3A0903%20(6)-p-2000.png,Matti van Engelen,Associate partner | Practice Lead Data & AI,false,,Download this free Case Study with Exclusive Insights straight to your inbox.,false,false,"How Bleckmann accelerated their new-business growth target with GenAI, transforming a manual lead funnel into an AI-driven sales engine in just ten weeks.",https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/6985e87862b1e687901f18ef_Logistics-Fulfilment-block-2.webp,Bleckmann,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/695e364b9de897e57c20fbe4_Bleckmann-logo-full-color-no-background.png,false,industrial-goods,ai-and-data; digital-strategy-transformation,industrials,Industrial goods & services,"<p>Bleckmann is a global logistics and fulfilment partner with strong international growth ambitions. With an <strong>ambitious new business growth target</strong> and a relatively small sales and marketing team, the organization needed to scale commercial effectiveness without increasing headcount.</p><p>At the same time, the existing lead funnel was highly manual, time consuming and insufficiently data or AI driven, limiting conversion and slowing down go to market. Increasing market pressure made it critical to <strong>prioritize high potential leads</strong> and modernize the commercial engine using (Gen) AI.</p>",false,"<p>SparkOptimus partnered closely with Bleckmann to shape a clear (Gen) AI vision for sales growth and translate it into tangible business impact. We applied a <strong>test and learn innovation approach</strong>, rapidly designing and building four custom (Gen) AI pilots focused on lead collection, enrichment and conversion.</p><p>The pilots were embedded directly into daily sales and marketing workflows, with hands on collaboration to ensure adoption and relevance. Alongside the pilots, we defined concrete enablers to embed (Gen) AI at scale, covering innovation process, ways of working, organization, data and technology, creating a clear path from experimentation to rollout.</p>",false,"<p>Within ten weeks, Bleckmann had four working (Gen) AI pilots delivering concrete proof points of value. Lead enrichment time was reduced by <strong>around 90%</strong>, significantly improving efficiency and freeing up commercial capacity.</p><p>AI driven prioritization improved lead progression, helping teams focus on the most promising opportunities. Beyond short term results, Bleckmann gained a <strong>scalable foundation to embed (Gen) AI across the commercial organization</strong>, supporting sustained new business growth.</p>",false,matti-van-engelen,"We are very happy with how quickly SparkOptimus shaped our (Gen) AI vision and translated it into pilots that delivered concrete proof points of business value, demonstrating the potential of (Gen) AI",Jurrie-Jan Tap,Chief Business Development Officer,false,budget-thuis; post-nl; sligro; bam,,10-must-have-criteria-for-digital-transformation-success; 10-generative-ai-use-cases-financial-services,,false,
Accelerating Opella’s global eCommerce growth,accelerating-opellas-global-ecommerce-growth,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,690874e5e38659bbb0041246,false,false,Mon Nov 03 2025 09:24:53 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 16:35:46 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 16:40:23 GMT+0000 (Coordinated Universal Time),0,Mon Nov 03 2025 00:00:00 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/664cabb92f679b4efd7d1510_steven.png,Steven Koolen,Partner | Sector Lead Consumer Goods,false,,Download this free Case Study with Exclusive Insights straight to your inbox.,false,false,SparkOptimus helped Opella accelerate eCommerce growth post carve out with a future proof global strategy and clear digital roadmap.,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/6908a30a1fc987c926572c6a_senior-man-consulting-female-pharmacist-medication%20(1).jpg,Opella,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/6908c27dd0897c65d7275b72_Opella%20Sanofi.png,false,consumer-goods; retail,ai-and-data; digital-strategy-transformation,consumer-goods; retail,Consumer Goods,"<p id="""">After becoming independent from Sanofi in 2025, <strong>Opella</strong>, now the #3 global player in the €190 billion OTC and VMS market, set out to redefine its commercial and customer strategy capabilities. The company aimed to <strong>accelerate eCommerce growth</strong> and ensure its plan to double online revenues by 2030 remained aligned with market trends and digital opportunities. To support this, Opella partnered with SparkOptimus to review and enhance its global eCommerce growth strategy and investment roadmap.</p>",false,"<p id="""">We conducted a comprehensive global assessment, combining stakeholder interviews across key regions, from Australia and Asia to the United States, with in-depth analysis of industry dynamics and future digital trends. In collaboration with Opella’s teams, the project:</p><ul id=""""><li id="""">Defined a <strong id="""">future-proof eCommerce strategy through 2030</strong>, updating growth pillars and sales targets</li><li id="""">Identified new digital growth opportunities across areas like social commerce and livestreaming</li><li id="""">Outlined the required digital and commercial investments, distinguishing quick wins from long-term priorities</li><li id="""">Translated strategic priorities into actionable commercial and technology roadmaps to enable scalable execution</li></ul><p id="""">‍</p>",false,"<p id="""">The collaboration enabled Opella to set a clear and actionable eCommerce roadmap, aligned with its ambition to lead in consumer health. The work delivered <strong id="""">deep, actionable insights at speed</strong>, with stakeholders praising both the quality and clarity of outcomes. </p><p id="""">Through this effort, Opella now has <strong id="""">a unified, data driven growth strategy</strong>, underpinned by five strategic growth pillars and a concrete investment path to unlock its digital potential globally.</p>",false,steven-koolen,"I’ve worked with the Spark team many times, and they continue to impress me. The speed at which they delivered deep, actionable insights was remarkable, and the quality and depth of their work is outstanding",Bas van Kesteren,Global Head of eCommerce,false,driving-growth-for-market-leader-interior-design; heineken-mexico-enhances-operations-genai; scaling-generative-ai-for-chocolate-sales-transformation; opellas-ai-driven-innovation,,top-strategies-for-implementing-generative-ai-in-consumer-good; 10-must-have-criteria-for-digital-transformation-success; 10-proven-generative-ai-use-cases-cpg,,false,
Accelerating the energy transition for Port of Rotterdam,accelerating-the-energy-transition-for-port-of-rotterdam,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,698093ac63f12ef0a5b918bc,false,false,Mon Feb 02 2026 12:08:12 GMT+0000 (Coordinated Universal Time),Tue Mar 03 2026 09:06:39 GMT+0000 (Coordinated Universal Time),Tue Mar 03 2026 09:06:39 GMT+0000 (Coordinated Universal Time),0,Mon Nov 03 2025 00:00:00 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/64db5fd08003b5f9768f64fa__Steven-Leest-SparkOptimus.webp,Steven Leest,Associate partner,false,,Download this free Case Study with Exclusive Insights straight to your inbox.,false,false,"How the Port of Rotterdam partnered with SparkOptimus to define a Virtual Energy System, turning energy transition ambition into a scalable, impact driven digital product vision.",https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/6980933950e88d32acf36f86_elly-maersk-nansha-port-of-rotterdam.jpg,Port of Rotterdam,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/6980934f92fa22efff4244f8_Port_of_rotterdam_logo.webp,false,logistics; sustainability,sustainability,industrials,Industrial goods & services,"<p id="""">The Port of Rotterdam, <strong id="""">Europe’s largest seaport</strong>, plays a critical role in the energy and raw materials transition while needing to maintain reliability and competitiveness at scale. Over the years, multiple digital initiatives had been launched to improve energy infrastructure optimization and data sharing across the industrial harbor cluster.</p><p id="""">However, these initiatives were still largely fragmented. The Port wanted to move from vision to impact by <strong id="""">operationalizing a Virtual Energy System:</strong> a digital twin of the port’s energy system to analyze the port's future energy needs, and identify interventions in the transition from the current energy system. The key challenge was to translate ambitious sustainability goals into pragmatic, business-first solutions that deliver value quickly while supporting long-term transformation.</p>",false,"<p>Together with the Port of Rotterdam, we translated strategic ambition into an actionable product direction. We started from <strong>user, energy and infrastructure needs</strong>, ensuring a business first approach focused on impact rather than technology.</p><p>We defined a clear <strong>product vision</strong> for the Virtual Energy System and prioritized concrete use cases that could deliver early value. Using a <strong>test and learn approach</strong>, we identified pragmatic starting points and designed an iterative scaling path that would prove value quickly.</p><p>In parallel, we assessed <strong>governance models for data collaboration</strong>, addressing how multiple actors across the energy ecosystem could work together effectively. Throughout the engagement, we applied a strong orchestration perspective, balancing the needs of customers, partners and public stakeholders to ensure long term viability.</p>",false,"<p>The Port of Rotterdam now has a shared and concrete direction for its Virtual Energy System. <strong>A clear product vision and prioritized use cases</strong> provide focus and momentum, while identified organizational and technological enablers make implementation tangible.</p><p>In addition, assessed <strong>data governance models</strong> give clarity on how collaboration across the ecosystem can be structured. Most importantly, the port moved from vision to <strong>real, scalable impact</strong>, with a pragmatic foundation that supports faster decision making and future growth in the energy transition.</p>",false,steven-koolen,"We are very impressed by how quickly SparkOptimus finetuned our vision for our Virtual Energy System, specifically how to go from vision to real impact. What really stands out is their focus on pragmatic starting points that immediately add value for users, while also providing a clear path to scale.",Douwe van der Stroom,Manager Smart Energy & Industry,false,driving-growth-for-market-leader-interior-design; heineken-mexico-enhances-operations-genai; scaling-generative-ai-for-chocolate-sales-transformation; opellas-ai-driven-innovation,,top-strategies-for-implementing-generative-ai-in-consumer-good; 10-must-have-criteria-for-digital-transformation-success; 10-proven-generative-ai-use-cases-cpg,,false,
Technical and commercial due diligence,accell-group,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,64e28511344c637a5c24c496,false,false,Sun Aug 20 2023 21:26:41 GMT+0000 (Coordinated Universal Time),Tue Mar 05 2024 14:39:00 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 16:00:18 GMT+0000 (Coordinated Universal Time),39,,false,,,,false,,,false,false,,https://uploads-ssl.webflow.com/64c8db4525075f4f57f9539a/64e4de0a720e662cee78bc6e_Accell%20Group%20website%20-%20still.jpg,Accell Group,https://uploads-ssl.webflow.com/64c8db4525075f4f57f9539a/64e4ddba1bb069ab33d8a578_2000px-Accell_Group_Logo.svg.png,true,,mergers-and-acquisitions,,Consumer Goods,"<p id="""">The Accell Group wanted to perform a detailed technical and commercial due diligence on one of its online platforms. Specifically, they wanted to know if the platform held certain valuable assets that Accell could use to accelerate its overall digital ambitions.</p>",false,"<p id="""">SparkOptimus performed this detailed due diligence by looking at different (technical) assets and the overall commercial business case of the online platform. Both the system landscape, data structure, operations and financials were analyzed and employees were interviewed and tested on their digital capabilities. The resulting information was discussed with Accell and compared with Accell’s digital ambitions.</p>",false,"<p id="""">Based on this due diligence SparkOptimus wrote a concise, but detailed, report that identified for Accell those assets that are most valuable to its digital strategy as well as those assets that were weak spots of the online platform under review. In the process, the Accell team gained insight in the most important elements of online platforms.</p><p id="""">‍</p><p id=""""><strong id="""">Want to find out how your business can benefit from our due diligence service line? </strong><a id="""" href=""https://www.sparkoptimus.com/contact""><strong id="""">Click here to get in touch with us. </strong></a></p><p id="""">‍</p>",false,,SparkOptimus’ deep expertise of e-commerce and all related technical matters were of great value to us and the speed and efficiency with which SparkOptimus executed this due diligence was simply astonishing.,Marc Kuper,Commercial Director Sparta at Accell Netherlands,false,,,,,false,
Building a digital-first insurance organization,achmea,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,64e27b691cac081b69a4fa14,false,false,Sun Aug 20 2023 20:45:29 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 14:04:13 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 15:01:43 GMT+0000 (Coordinated Universal Time),32,,false,,,,false,,,false,false,,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/6908b657b247d31cba22bbc7_3244.jpg,Achmea ,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/64e4de40fbbdbe1f202d9c12_achmea.svg,true,,digital-strategy-transformation,,Finance,"<p id="""">Achmea is the largest insurance company in the Netherlands. It provides health, casualty, and income insurance to over 10M individuals through its brands such as Centraal Beheer and Interpolis. Achmea’s Casualty Insurance division has set its ambition to become a digital and data-driven insurer and installed a team to lead this transformation; the Data &amp; Digital Team. This team explores and tests new business models, redesigns customer journeys, and digitizes and automates internal processes. Over the course of 2019, 2020 and 2021, Achmea has collaborated with SparkOptimus in multiple focused stints to set up the Data &amp; Digital Team, build up its capabilities and realize impact in its customer journeys.</p>",false,"<p id="""">In an action-oriented approach, we jointly built up the Data &amp; Digital Team through three parallel efforts.</p><p id="""">First, the customer: we jointly redesigned the most urgent customer journeys into digital-first journeys, increasing NPS while reducing costs. Based on a co-created handbook, the organization is now independently continuing the digitization of its customer journeys and operating models.</p><p id="""">Secondly, data and tech: we introduced data-driven thinking by designing action-oriented dashboards, delivering them, and installing a rhythm of acting on the dashboards’ insights. Teams now operate in this way to redesign or optimize journeys and internal processes.</p><p id="""">Finally, the organization: the Data &amp; Digital Team has grown to 15 FTE that work cross-functionally and data-driven. Following a coaching approach, we guided the organization in its way of working and governance, which is now independent and self-propelling. Next to this, Achmea has a clear growth path for its wider organization towards its ambition of a digital organization.</p>",false,"<p id="""">Built by a strong collaboration between Achmea Data &amp; Digital and SparkOptimus, Achmea has made big steps in becoming a customer-friendly digital insurer. As a snapshot of its progress, it has increased its share of online claims with 33%, increased conversion on casualty web pages with 20%, and increased cost reductions by &gt;20% on the journeys it has digitized so far.</p><p>‍</p><p id=""""><strong id="""">Want to find out how your business can benefit from our 1-week digital transformation scan? </strong><a href=""https://www.sparkoptimus.com/contact""><strong id="""">Click here to get in touch with us. </strong></a></p>",false,,SparkOptimus is an investment in my team and helps us to build lasting capabilities. We would not have been able to achieve the speed and impact we have without them.,Rikkert van Capelleveen,"Senior Manager Data & Digital, Achmea",false,,,,,false,
Developing a mobile loyalty app development roadmap,ah-to-go,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,64e28412da2842976ee98dce,false,false,Sun Aug 20 2023 21:22:26 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 14:09:34 GMT+0000 (Coordinated Universal Time),Tue Apr 29 2025 11:43:34 GMT+0000 (Coordinated Universal Time),12,,false,,,,false,,,false,false,,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/65d8bb22eb57e930429e7dc7_wepik-export-20240223153447DY2F.jpeg,AH to go,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/680b979406567ba00effd314_Untitled%20design%20(1).svg,false,,ventures-scale-ups,,Retail,"<p id="""">In the fall of 2016, AH to go launched a brand-new loyalty app for consumers together with strategic partners (i.e. suppliers) and continuous support of SparkOptimus. Nearing the end of development of the 1st version of the app, AH to go wanted to create a future outlook and roadmap for the AH to go loyalty app, including functionality and the role of mobile in AH to go’s broader proposition.</p>",false,"<p id="""">SparkOptimus organized, prepared, and facilitated an interactive workshop for AH to go and several key partners. We researched options and trends relevant for AH to go and in the session considered a broad range of relevant (technological) developments, discussed worldwide best practices, and set design principles and an ambition for AH to go's future app development. Using these inputs, we formulated a vision on AH to go's future (mobile) consumer journey.</p>",false,"<p id="""">The project resulted in a clear and structured vision for AH to go on its future consumer journey and corresponding priorities for further developing its mobile loyalty app. It realizes the importance of focus and additionally AH to go now has a clear view on how to balance optimization and expansion and use a test-and-learn approach in order to be successful.</p><p id="""">‍</p><p id=""""><strong id="""">Want to find out how your venture can benefit from our expertise? </strong><a id="""" href=""https://www.sparkoptimus.com/contact""><strong id="""">Click here to get in touch with us. </strong></a></p>",false,,SparkOptimus has helped us to redefine our product vision and translate this both into a short-term action plan as well as a longer-term roadmap.,Roland Simon,Marketing Manager AH to go,false,,,,,false,
Designing a multi-partner loyalty program,air-miles,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,64e2857c6f9e84517ab246bf,false,true,Sun Aug 20 2023 21:28:28 GMT+0000 (Coordinated Universal Time),Fri Oct 17 2025 13:59:19 GMT+0000 (Coordinated Universal Time),,36,,false,,,,false,,,false,false,,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/64e4de807236d141e319662b_air-miles1.jpg,Air Miles,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/680b94f9bcd28903a7b6e859_air-miles-logo.png,false,,digital-strategy-transformation,,Retail,"<p id="""">The partners of the Air Miles loyalty program: Shell, Ahold, V&amp;D and Praxis, acknowledged the fact that the joint program was not in line with modern standards. They wanted to redesign the program so that it would increase engagement with their customers, make use of the data and insights to run their business, and ensure a setup that would benefit all partners in their business.</p>",false,"<p id="""">SparkOptimus started by designing a program with clear benefits from a customer perspective, with a strong role for mobile and personalization. We used our ‘10-point loyalty design structure’ as guidance for the program setup. Finally, we created a business model structure so that each partner could benefit from the partnership while maintaining a great degree of freedom in implementation of the program for its own brand.</p>",false,"<p id="""">The Air Miles program was revived from an old fashioned and ‘sleeping’ program with little engagement, to a modern program with strong customer engagement and data capture. After the redesign, each partner was capable of tailoring the loyalty program to fit its own business purposes.</p><p>‍</p><p id=""""><strong id="""">Want to find out how your business can benefit from our 1-week data scan? </strong><a id="""" href=""https://www.sparkoptimus.com/contact""><strong id="""">Click here to get in touch with us. </strong></a></p><p>‍</p>",false,,SparkOptimus was able to show the future of loyalty programs and translate it to actionable results with direct impact,Erik van Essen,Managing Director LMN (Air Miles),false,,,,,false,
Defining an integrated digital commerce strategy,akzo-nobel,64c8db55b3337948371453e0,64c8db4525075f4f57f95399,64e280654cc90679fbcd44de,false,false,Sun Aug 20 2023 21:06:45 GMT+0000 (Coordinated Universal Time),Wed Nov 05 2025 12:33:54 GMT+0000 (Coordinated Universal Time),Wed Nov 05 2025 12:33:54 GMT+0000 (Coordinated Universal Time),25,,false,,,,false,,,false,false,,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/690b442e0763c96021449bca_57838.jpg,AkzoNobel,https://cdn.prod.website-files.com/64c8db4525075f4f57f9539a/64e4e1408c2b2257d1bc39fe_175px-AkzoNobel_Logo.svg.png,true,,digital-strategy-transformation,,Industrial goods & services,"<p id="""">AkzoNobel UK Deco is the leading player in the UK decorative paint market, and forms part of the global paint, coatings, and chemical producer AkzoNobel. As digital developments are accelerating, AkzoNobel UK Deco asked SparkOptimus to support in defining an integrated digital commerce strategy.</p>",false,"<p id="""">SparkOptimus identified main trends in the (online) paint market and defined the opportunity for digital paint commerce in the UK. Furthermore, we assessed current digital routes to market and co-created a digital commerce vision along with a pragmatic roadmap, which included both e-commerce and online services.</p>",false,"<p id="""">The digital commerce strategy provided AkzoNobel UK Deco with a clear vision for the future, integrating existing digital initiatives with newly identified opportunities. Furthermore, by jointly working with the AkzoNobel UK team, the awareness of the digital opportunities within the AkzoNobel organization was raised significantly.</p><p>‍</p><p id=""""><strong id="""">Want to find out how your business can benefit from our 1-week digital strategy scan? </strong><a href=""https://www.sparkoptimus.com/contact""><strong id="""">Click here to get in touch with us. </strong></a></p>",false,,SparkOptimus’ combination of true digital expertise along with sharp analytics and a structured approach has helped tremendously to assess digital opportunities and frame a sound digital commerce strategy,Alan Welsman,Head of Digital AkzoNobel UK,false,,,,,false,
